Unnamed: 0,gender,test_prep,sport,transport,wkstudy_hours,math_score,reading_score,writing_score
329,female,none,sometimes,school_bus,< 5,39,54,49
330,male,none,regularly,school_bus,< 5,70,59,61
331,male,none,sometimes,private,< 5,45,36,34
332,male,completed,never,school_bus,> 10,61,55,52
333,male,none,sometimes,school_bus,5 - 10,90,78,81
334,female,none,sometimes,,,83,93,95
335,female,none,regularly,,5 - 10,62,69,67
336,male,completed,regularly,private,5 - 10,78,71,70
337,male,none,regularly,,5 - 10,50,51,44
338,female,none,sometimes,school_bus,< 5,23,37,26
339,female,completed,sometimes,school_bus,5 - 10,35,55,60
340,male,none,regularly,school_bus,> 10,61,62,54
341,female,none,regularly,,5 - 10,62,74,64
342,female,completed,sometimes,school_bus,< 5,66,74,72
343,male,completed,sometimes,private,< 5,64,70,65
344,male,none,regularly,school_bus,< 5,78,72,67
345,female,none,sometimes,private,5 - 10,72,80,75
346,male,none,sometimes,school_bus,5 - 10,62,61,57
347,female,completed,regularly,,< 5,76,93,95
349,male,none,regularly,private,> 10,92,76,79
350,female,none,sometimes,private,5 - 10,52,65,69
351,male,none,,school_bus,> 10,67,57,53
352,female,completed,sometimes,school_bus,< 5,61,76,78
353,female,none,regularly,private,< 5,45,57,57
354,female,none,never,,< 5,55,68,66
355,female,none,regularly,school_bus,> 10,64,74,73
356,male,none,sometimes,private,5 - 10,63,61,61
357,female,completed,sometimes,private,< 5,40,65,67
359,female,none,sometimes,private,< 5,77,88,87
360,female,none,never,school_bus,5 - 10,56,61,57
361,male,completed,regularly,private,5 - 10,87,85,79
362,female,none,regularly,private,5 - 10,53,58,59
363,female,none,sometimes,school_bus,< 5,26,33,31
364,male,none,regularly,school_bus,5 - 10,60,60,59
365,male,completed,regularly,private,> 10,51,59,62
366,male,completed,sometimes,,5 - 10,69,58,53
367,male,none,regularly,private,> 10,64,67,63
368,female,none,sometimes,private,5 - 10,44,64,58
369,female,none,regularly,school_bus,5 - 10,71,83,84
370,male,none,regularly,private,5 - 10,86,78,72
371,female,completed,sometimes,school_bus,5 - 10,45,73,70
372,male,none,sometimes,private,> 10,76,75,73
373,female,completed,sometimes,private,> 10,84,98,97
374,female,none,sometimes,,> 10,60,71,74
376,female,none,sometimes,school_bus,> 10,82,91,83
377,female,completed,sometimes,private,5 - 10,85,95,100
378,female,none,sometimes,private,> 10,73,84,78
379,male,none,regularly,private,5 - 10,67,64,63
380,female,none,sometimes,school_bus,5 - 10,80,86,83
381,male,completed,sometimes,private,< 5,84,98,93
382,male,none,sometimes,,5 - 10,79,82,73
383,female,none,regularly,private,> 10,40,50,47
384,female,none,never,private,5 - 10,35,41,40
385,female,none,regularly,private,5 - 10,69,77,76
386,female,none,sometimes,school_bus,< 5,62,71,68
387,female,none,regularly,school_bus,5 - 10,58,79,68
388,female,none,sometimes,private,5 - 10,62,64,64
389,male,none,sometimes,school_bus,< 5,71,70,75
390,male,completed,regularly,private,5 - 10,75,68,60
391,female,none,sometimes,private,< 5,74,66,75
392,male,none,sometimes,school_bus,> 10,78,68,68
393,male,completed,regularly,private,> 10,60,55,58
394,female,completed,sometimes,school_bus,5 - 10,65,74,77
396,female,none,never,school_bus,5 - 10,48,65,61
398,male,none,regularly,school_bus,< 5,73,62,57
399,male,none,never,private,< 5,56,57,51
400,female,completed,regularly,private,5 - 10,60,54,68
401,male,,sometimes,school_bus,,53,43,43
402,female,none,regularly,school_bus,> 10,51,66,57
403,female,completed,sometimes,private,5 - 10,88,99,100
404,female,none,regularly,school_bus,5 - 10,55,59,63
405,female,none,regularly,,< 5,62,72,68
406,male,completed,regularly,school_bus,> 10,68,66,65
407,female,,regularly,school_bus,5 - 10,84,81,78
408,female,completed,sometimes,school_bus,5 - 10,52,57,56
409,male,completed,never,school_bus,> 10,86,83,84
410,female,completed,regularly,private,5 - 10,72,73,78
411,male,completed,regularly,school_bus,5 - 10,86,84,79
412,male,none,sometimes,private,,71,66,60
414,female,,regularly,school_bus,5 - 10,52,73,80
415,male,none,regularly,private,5 - 10,86,74,70
416,male,completed,sometimes,private,< 5,68,72,66
417,male,none,sometimes,,< 5,71,71,65
418,male,none,regularly,private,5 - 10,70,59,63
419,male,completed,sometimes,private,5 - 10,57,56,54
421,female,completed,regularly,,< 5,56,57,64
422,female,completed,never,private,> 10,47,59,68
423,female,completed,sometimes,,< 5,57,83,78
424,male,none,,private,5 - 10,41,39,34
425,female,none,sometimes,school_bus,< 5,60,65,60
426,male,none,regularly,school_bus,5 - 10,88,84,88
427,male,none,regularly,private,5 - 10,71,72,66
428,male,,sometimes,private,,65,59,53
429,male,none,sometimes,school_bus,> 10,70,63,55
430,male,none,sometimes,private,< 5,62,65,57
431,female,none,sometimes,school_bus,,61,72,70
432,male,none,never,school_bus,< 5,57,54,52
433,female,none,sometimes,school_bus,< 5,45,58,49
434,male,none,sometimes,,> 10,75,66,67
435,male,completed,sometimes,private,5 - 10,50,48,53
436,male,none,regularly,school_bus,5 - 10,77,69,65
437,male,none,sometimes,private,5 - 10,75,66,73
438,male,,regularly,school_bus,< 5,69,55,51
439,male,completed,sometimes,school_bus,5 - 10,89,88,82
440,female,completed,regularly,school_bus,5 - 10,69,82,80
441,female,none,sometimes,,,78,81,80
442,female,none,sometimes,school_bus,5 - 10,59,73,69
443,female,none,sometimes,school_bus,< 5,70,81,74
444,male,none,sometimes,school_bus,5 - 10,79,82,73
445,female,completed,regularly,,5 - 10,69,75,78
446,male,none,regularly,school_bus,> 10,73,67,62
447,male,completed,regularly,school_bus,> 10,91,83,83
448,male,none,regularly,school_bus,5 - 10,48,46,43
449,male,none,regularly,school_bus,5 - 10,83,74,73
450,female,completed,sometimes,private,5 - 10,64,85,85
451,female,none,sometimes,school_bus,5 - 10,100,92,97
452,female,none,regularly,school_bus,> 10,68,79,77
453,male,none,never,private,> 10,64,57,48
454,female,none,regularly,private,5 - 10,54,61,63
455,male,none,sometimes,school_bus,5 - 10,37,56,47
456,female,none,sometimes,school_bus,5 - 10,79,89,89
457,male,none,regularly,,5 - 10,54,54,49
458,female,none,regularly,school_bus,,100,100,100
459,male,,sometimes,,5 - 10,72,65,68
460,male,none,regularly,private,< 5,52,57,55
461,male,none,sometimes,school_bus,5 - 10,54,54,45
462,female,none,never,private,5 - 10,68,68,74
463,female,none,sometimes,school_bus,5 - 10,77,90,91
464,male,completed,sometimes,private,5 - 10,75,58,62
465,female,none,sometimes,,5 - 10,84,87,91
466,female,none,sometimes,school_bus,> 10,26,31,38
467,male,completed,regularly,school_bus,> 10,76,69,67
468,female,completed,regularly,private,5 - 10,79,89,87
469,male,none,regularly,private,5 - 10,93,75,77
470,female,completed,sometimes,private,5 - 10,83,85,90
471,female,,regularly,private,< 5,62,68,74
472,female,completed,sometimes,school_bus,5 - 10,68,86,84
473,female,none,sometimes,private,> 10,57,66,60
474,female,,sometimes,private,5 - 10,90,90,91
475,female,completed,sometimes,,> 10,73,77,84
476,male,completed,sometimes,school_bus,5 - 10,76,62,66
477,male,none,sometimes,school_bus,5 - 10,80,68,72
478,female,none,never,private,5 - 10,53,64,70
479,male,none,sometimes,school_bus,> 10,78,72,68
480,male,completed,sometimes,private,5 - 10,73,71,68
481,female,,sometimes,school_bus,5 - 10,52,59,56
482,male,none,sometimes,private,> 10,70,69,62
483,male,none,sometimes,private,5 - 10,59,52,46
484,female,none,regularly,school_bus,< 5,48,51,54
485,male,none,sometimes,school_bus,< 5,67,72,69
486,male,none,sometimes,private,5 - 10,61,47,56
487,female,none,sometimes,school_bus,5 - 10,60,75,74
488,male,completed,regularly,school_bus,5 - 10,65,53,58
489,male,completed,never,school_bus,5 - 10,76,80,79
490,female,none,regularly,school_bus,< 5,64,84,76
491,female,,sometimes,,5 - 10,64,64,70
492,female,none,sometimes,school_bus,5 - 10,83,83,90
493,female,none,sometimes,school_bus,< 5,78,86,88
494,female,none,regularly,school_bus,< 5,53,63,68
495,male,completed,sometimes,private,5 - 10,68,64,66
496,female,none,regularly,school_bus,< 5,53,47,52
497,female,completed,sometimes,school_bus,5 - 10,59,78,76
499,male,none,sometimes,school_bus,< 5,73,69,70
500,female,none,sometimes,school_bus,5 - 10,74,80,84
501,female,completed,sometimes,private,< 5,91,85,90
502,male,none,sometimes,school_bus,,63,61,54
503,female,completed,regularly,school_bus,> 10,100,91,96
504,female,none,regularly,private,5 - 10,41,61,57
505,female,none,sometimes,school_bus,< 5,79,80,78
506,male,none,regularly,school_bus,5 - 10,70,71,67
508,male,none,sometimes,private,5 - 10,79,78,77
509,female,none,regularly,private,5 - 10,88,93,89
510,male,none,sometimes,,5 - 10,76,71,73
511,male,none,sometimes,,< 5,62,49,42
512,male,none,regularly,school_bus,< 5,61,48,52
513,female,completed,regularly,private,5 - 10,55,61,63
514,female,completed,sometimes,school_bus,5 - 10,77,97,94
515,female,completed,sometimes,private,5 - 10,76,87,85
516,female,none,sometimes,private,,74,89,84
517,female,completed,never,school_bus,5 - 10,64,72,71
518,female,completed,regularly,school_bus,5 - 10,67,79,79
519,female,completed,sometimes,school_bus,5 - 10,67,78,79
520,male,none,sometimes,private,5 - 10,71,49,52
521,female,none,sometimes,private,5 - 10,91,86,84
522,male,none,sometimes,private,> 10,71,58,58
523,male,,regularly,,5 - 10,56,61,52
524,male,completed,sometimes,private,,53,52,49
525,male,none,sometimes,private,> 10,70,60,60
526,male,completed,sometimes,school_bus,< 5,54,60,58
527,female,none,sometimes,,5 - 10,36,53,43
528,female,none,sometimes,private,< 5,28,40,46
529,female,none,never,private,5 - 10,60,72,68
530,female,completed,,private,5 - 10,68,67,73
531,female,none,never,private,5 - 10,45,53,51
532,male,completed,sometimes,school_bus,< 5,60,60,56
533,female,completed,sometimes,school_bus,5 - 10,79,88,94
534,male,completed,sometimes,school_bus,> 10,75,70,69
535,female,completed,sometimes,private,5 - 10,66,83,83
536,male,completed,never,,< 5,47,58,55
537,female,none,never,school_bus,5 - 10,49,65,60
538,male,completed,sometimes,school_bus,< 5,82,65,69
539,male,completed,sometimes,school_bus,> 10,99,93,87
540,male,completed,sometimes,private,5 - 10,75,69,68
541,male,,sometimes,school_bus,< 5,76,80,78
542,female,none,regularly,private,5 - 10,83,78,80
543,female,none,regularly,private,> 10,86,97,93
544,female,none,sometimes,,5 - 10,64,63,66
545,male,completed,regularly,school_bus,5 - 10,80,84,82
546,female,completed,sometimes,school_bus,5 - 10,92,100,97
547,male,completed,regularly,private,< 5,71,66,64
548,female,none,regularly,school_bus,< 5,61,66,64
549,male,none,sometimes,school_bus,< 5,77,72,69
550,male,none,sometimes,,< 5,76,74,63
551,male,completed,regularly,private,5 - 10,89,91,90
552,female,none,never,private,5 - 10,38,47,48
553,male,none,regularly,private,5 - 10,79,62,65
554,male,none,regularly,private,> 10,56,46,41
555,female,,regularly,private,> 10,33,40,34
557,male,none,regularly,school_bus,5 - 10,63,69,69
558,female,none,sometimes,school_bus,< 5,51,68,68
559,male,none,sometimes,school_bus,> 10,75,66,63
560,female,completed,sometimes,school_bus,,74,75,79
561,female,none,regularly,school_bus,> 10,66,76,77
562,male,completed,regularly,school_bus,< 5,95,89,92
563,female,completed,sometimes,,5 - 10,63,80,80
564,male,none,sometimes,school_bus,< 5,46,50,45
565,male,none,sometimes,school_bus,< 5,46,42,44
566,female,completed,never,private,5 - 10,89,98,97
567,female,completed,,,5 - 10,61,72,80
568,male,none,regularly,private,< 5,62,47,47
569,male,none,regularly,private,,70,69,68
570,male,completed,regularly,private,5 - 10,73,76,71
571,male,none,never,school_bus,5 - 10,88,94,89
572,female,,sometimes,private,> 10,54,62,57
573,female,completed,sometimes,school_bus,5 - 10,50,66,64
574,female,none,sometimes,private,> 10,76,82,72
575,male,,sometimes,school_bus,5 - 10,40,55,53
576,male,completed,sometimes,school_bus,5 - 10,61,51,52
577,female,none,sometimes,school_bus,< 5,78,89,87
578,female,completed,sometimes,school_bus,> 10,49,56,59
579,female,none,regularly,school_bus,< 5,52,60,68
580,female,none,sometimes,school_bus,< 5,78,95,94
581,female,none,never,school_bus,5 - 10,74,77,78
582,female,none,sometimes,school_bus,5 - 10,63,73,78
583,female,completed,sometimes,school_bus,> 10,75,76,81
586,female,none,sometimes,school_bus,5 - 10,55,73,73
587,female,none,regularly,school_bus,< 5,43,62,62
588,female,none,regularly,school_bus,< 5,53,63,65
